Authenticating V&R user: Musicground
Using curl_cffi (Chrome TLS fingerprint) for Cloudflare bypass
Initial page load status: 200
Submitting V&R login form...
Login response status: 200
Authentication check - 'Logout' in response: True
Authentication check - '/account' in URL: True
Authentication result: Successful
AUTH OK - Starting fixes...
1/227 VR:116418 OK (total: 1 ok, 0 err)
96/227 VR:123646 OK (total: 96 ok, 0 err)
97/227 VR:123647 OK (total: 97 ok, 0 err)
98/227 VR:123648 OK (total: 98 ok, 0 err)
99/227 VR:123666 OK (total: 99 ok, 0 err)
100/227 VR:70481 OK (total: 100 ok, 0 err)
101/227 VR:123650 OK (total: 101 ok, 0 err)
102/227 VR:123651 OK (total: 102 ok, 0 err)
103/227 VR:123652 OK (total: 103 ok, 0 err)
104/227 VR:123653 OK (total: 104 ok, 0 err)
105/227 VR:73319 OK (total: 105 ok, 0 err)
106/227 VR:70483 OK (total: 106 ok, 0 err)
107/227 VR:123667 OK (total: 107 ok, 0 err)
108/227 VR:73315 OK (total: 108 ok, 0 err)
109/227 VR:73318 OK (total: 109 ok, 0 err)
110/227 VR:123668 OK (total: 110 ok, 0 err)
111/227 VR:123654 OK (total: 111 ok, 0 err)
112/227 VR:56165 OK (total: 112 ok, 0 err)
113/227 VR:123678 OK (total: 113 ok, 0 err)
114/227 VR:123655 OK (total: 114 ok, 0 err)
115/227 VR:123656 OK (total: 115 ok, 0 err)
116/227 VR:123657 OK (total: 116 ok, 0 err)
117/227 VR:123658 OK (total: 117 ok, 0 err)
118/227 VR:110224 OK (total: 118 ok, 0 err)
119/227 VR:123629 OK (total: 119 ok, 0 err)
120/227 VR:110222 OK (total: 120 ok, 0 err)
121/227 VR:123598 OK (total: 121 ok, 0 err)
122/227 VR:123610 OK (total: 122 ok, 0 err)
123/227 VR:103999 OK (total: 123 ok, 0 err)
124/227 VR:104001 OK (total: 124 ok, 0 err)
125/227 VR:104189 OK (total: 125 ok, 0 err)
126/227 VR:104014 OK (total: 126 ok, 0 err)
127/227 VR:123615 OK (total: 127 ok, 0 err)
128/227 VR:123616 OK (total: 128 ok, 0 err)
129/227 VR:123628 OK (total: 129 ok, 0 err)
130/227 VR:123593 OK (total: 130 ok, 0 err)
131/227 VR:123594 OK (total: 131 ok, 0 err)
132/227 VR:123663 OK (total: 132 ok, 0 err)
133/227 VR:91367 OK (total: 133 ok, 0 err)
134/227 VR:103173 OK (total: 134 ok, 0 err)
135/227 VR:123673 OK (total: 135 ok, 0 err)
136/227 VR:123649 OK (total: 136 ok, 0 err)
137/227 VR:79831 OK (total: 137 ok, 0 err)
138/227 VR:123592 OK (total: 138 ok, 0 err)
139/227 VR:123623 OK (total: 139 ok, 0 err)
140/227 VR:123591 OK (total: 140 ok, 0 err)
141/227 VR:123609 OK (total: 141 ok, 0 err)
142/227 VR:123588 OK (total: 142 ok, 0 err)
143/227 VR:123589 OK (total: 143 ok, 0 err)
144/227 VR:123630 OK (total: 144 ok, 0 err)
145/227 VR:98917 OK (total: 145 ok, 0 err)
146/227 VR:98914 OK (total: 146 ok, 0 err)
147/227 VR:102099 OK (total: 147 ok, 0 err)
148/227 VR:123606 OK (total: 148 ok, 0 err)
149/227 VR:123604 OK (total: 149 ok, 0 err)
150/227 VR:123627 OK (total: 150 ok, 0 err)
151/227 VR:123625 OK (total: 151 ok, 0 err)
152/227 VR:101306 OK (total: 152 ok, 0 err)
153/227 VR:123664 OK (total: 153 ok, 0 err)
154/227 VR:123599 OK (total: 154 ok, 0 err)
155/227 VR:123600 OK (total: 155 ok, 0 err)
156/227 VR:123602 OK (total: 156 ok, 0 err)
157/227 VR:123603 OK (total: 157 ok, 0 err)
158/227 VR:123633 OK (total: 158 ok, 0 err)
159/227 VR:99800 OK (total: 159 ok, 0 err)
160/227 VR:99642 OK (total: 160 ok, 0 err)
161/227 VR:99322 OK (total: 161 ok, 0 err)
162/227 VR:99270 OK (total: 162 ok, 0 err)
163/227 VR:123622 OK (total: 163 ok, 0 err)
164/227 VR:123607 OK (total: 164 ok, 0 err)
165/227 VR:99264 OK (total: 165 ok, 0 err)
166/227 VR:123595 OK (total: 166 ok, 0 err)
167/227 VR:123583 OK (total: 167 ok, 0 err)
168/227 VR:123584 OK (total: 168 ok, 0 err)
169/227 VR:123585 OK (total: 169 ok, 0 err)
170/227 VR:123586 OK (total: 170 ok, 0 err)
171/227 VR:98078 OK (total: 171 ok, 0 err)
172/227 VR:123632 OK (total: 172 ok, 0 err)
173/227 VR:123611 OK (total: 173 ok, 0 err)
174/227 VR:79840 OK (total: 174 ok, 0 err)
175/227 VR:123634 OK (total: 175 ok, 0 err)
176/227 VR:123626 OK (total: 176 ok, 0 err)
177/227 VR:123618 OK (total: 177 ok, 0 err)
178/227 VR:123587 OK (total: 178 ok, 0 err)
179/227 VR:123924 OK (total: 179 ok, 0 err)
180/227 VR:123925 OK (total: 180 ok, 0 err)
181/227 VR:123937 OK (total: 181 ok, 0 err)
182/227 VR:123938 OK (total: 182 ok, 0 err)
183/227 VR:123939 OK (total: 183 ok, 0 err)
184/227 VR:123940 OK (total: 184 ok, 0 err)
185/227 VR:123941 OK (total: 185 ok, 0 err)
186/227 VR:123943 OK (total: 186 ok, 0 err)
187/227 VR:123953 OK (total: 187 ok, 0 err)
188/227 VR:123954 OK (total: 188 ok, 0 err)
189/227 VR:124003 OK (total: 189 ok, 0 err)
190/227 VR:124004 OK (total: 190 ok, 0 err)
191/227 VR:124064 OK (total: 191 ok, 0 err)
192/227 VR:124130 OK (total: 192 ok, 0 err)
193/227 VR:124150 OK (total: 193 ok, 0 err)
194/227 VR:124151 OK (total: 194 ok, 0 err)
195/227 VR:124162 OK (total: 195 ok, 0 err)
196/227 VR:124163 OK (total: 196 ok, 0 err)
197/227 VR:124165 OK (total: 197 ok, 0 err)
198/227 VR:124166 OK (total: 198 ok, 0 err)
199/227 VR:124168 OK (total: 199 ok, 0 err)
200/227 VR:124170 OK (total: 200 ok, 0 err)
201/227 VR:124172 OK (total: 201 ok, 0 err)
202/227 VR:124173 OK (total: 202 ok, 0 err)
203/227 VR:124174 OK (total: 203 ok, 0 err)
204/227 VR:124177 OK (total: 204 ok, 0 err)
205/227 VR:124179 OK (total: 205 ok, 0 err)
206/227 VR:124254 OK (total: 206 ok, 0 err)
207/227 VR:124266 OK (total: 207 ok, 0 err)
208/227 VR:124286 OK (total: 208 ok, 0 err)
209/227 VR:124289 OK (total: 209 ok, 0 err)
210/227 VR:124290 OK (total: 210 ok, 0 err)
211/227 VR:124305 OK (total: 211 ok, 0 err)
212/227 VR:124313 OK (total: 212 ok, 0 err)
213/227 VR:124314 OK (total: 213 ok, 0 err)
214/227 VR:124315 OK (total: 214 ok, 0 err)
215/227 VR:124316 OK (total: 215 ok, 0 err)
216/227 VR:124317 OK (total: 216 ok, 0 err)
217/227 VR:124318 OK (total: 217 ok, 0 err)
218/227 VR:124327 OK (total: 218 ok, 0 err)
219/227 VR:124325 OK (total: 219 ok, 0 err)
220/227 VR:124320 OK (total: 220 ok, 0 err)
221/227 VR:124358 OK (total: 221 ok, 0 err)
222/227 VR:124373 OK (total: 222 ok, 0 err)
223/227 VR:124374 OK (total: 223 ok, 0 err)
224/227 VR:124379 OK (total: 224 ok, 0 err)
225/227 VR:124380 OK (total: 225 ok, 0 err)
226/227 VR:124381 OK (total: 226 ok, 0 err)
227/227 VR:124389 OK (total: 227 ok, 0 err)

=== BATCH FIX COMPLETE: 227 fixed, 0 errors ===
